,name,studio,theme,tags,source,rating,year,synopsis,demographic,status,eps,eps_avg_duration_in_min,rated_by
607,Gad Guard,Gonzo,Mecha,"Adventure, Sci-Fi",Original,6.66,2003,"Several hundred years in the future, the resources of the Earth runs out, and the progression of the human race has stagnated. The world is now divided into ""Units."" A boy named Hajiki Sanada lives with his mother and sister in Unit 74, in a place called ""Night Town,"" in which all electricity is shut down at midnight. The key in this story is an object called the GAD. GADs have the ability to reconstruct materials while reacting to feelings of an organic life. The size and shape of the resulting product seem to be different depending on the kinds of feelings that the life possesses. When Hajiki comes in contact with one by accident, it transforms into a huge robot—a Tekkoudo, or ""Iron Giant""—which Hajiki names Lightning. And soon he realizes that he isn't the only one with a Tekkoudo, and must find out how to deal with those others who he feels are the ""same"" as himself.

(Source: ANN)





StudioGonzo

SourceOriginal

ThemeMecha
DemographicShounen",Shounen,Finished,26,25,13K
608,Element Hunters,Heewon Entertainment,Shounen,Sci-Fi,Original,6.6,2009,"In 2029, a large scale ground sinkage occurred in the Mediterranean Sea. Chemical elements such as oxygen, carbon, gold, molybdenum, and cobalt disappeared from the earth's crust suddenly. The human population was decreased by 90% in sixty years. Researchers found out that the disappeared elements were drained into a planet ""Nega Earth"", located in another dimension. To save the Earth, a special team called the ""Element Hunters"" is organized. All of the members are under 13 years old, because young and flexible brains are needed to access ""Nega Earth"".





StudiosHeewon EntertainmentNHK Enterprises

SourceOriginal

DemographicShounen",Shounen,Finished,39,24,13K
609,Yatogame-chan Kansatsu Nikki Sansatsume,Creators in Pack,School,"Comedy, Slice, of, Life",4-koma manga,6.37,2021,"Third season of Yatogame-chan Kansatsu Nikki.





StudiosCreators in PackLEVELS

Source4-koma manga

ThemeSchool
DemographicShounen",Shounen,Finished,12,3,13K
610,Kishin Douji Zenki,Studio Deen,Shounen,"Action, Comedy, Drama, Fantasy, Horror, Ecchi",Manga,6.96,1995,"In ancient times, a great battle was waged between a master mage, Enno Ozuno, and an evil demon goddess, Karuma. Unfortunately, Enno didn't have the strength to defeat her alone and was forced to call upon Zenki, a powerful protector demon. After Karuma was defeated, Enno sealed Zenki away in a pillar located inside his temple.

1,200 years after this epic battle, Enno's descendant, Chiaki, spends her days showing tourists around her hometown of Shikigami-cho and doing exorcisms to pay the bills. One day, two thieves enter the town in hopes of opening a seal in the Ozuno temple and releasing the hidden treasure from within. However, what actually pops out is a dark entity that attaches itself to the henchmen, transforming them into demonic beings. After this transformation, they begin a rampage through the temple, terrorizing poor Chiaki.

It is now up to this young progeny to unleash her family's powers to summon Zenki and save Shikigami-cho from these demons, as well as the evil entities sure to follow in their footsteps.





StudioStudio Deen

SourceManga

DemographicShounen",Shounen,Finished,51,24,13K
611,Aquarian Age: Sign for Evolution,Madhouse,"Music, Super Power","Action, Adventure, Fantasy, Romance, Sci-Fi, Supernatural",Card game,6.07,2002,"Five supernatural factions have been fighting against each other for who knows how many centuries, with the beginning of Aquarian Age always in mind. Kyouta, soon begins to see visions of mystical girls fighting, except they do exist. Soon he and his girlfriend Yoriko become involved and the battle for Earth and Aquarian Age lies in their hands. 

(Source: ANN)






StudioMadhouse

SourceCard game

ThemesMusicSuper Power
DemographicShounen",Shounen,Finished,13,24,13K
612,Z/X: Code Reunion,Passione,School,"Fantasy, Sci-Fi",Card game,5.77,2019,"The signing of a peace treaty has secured a tenuous ceasefire between mankind and the Zex, beings who emerged from space/time rifts connected to mysterious, distant worlds. Partnered with a Zex named Rigel, Azumi Kakamigahara must shoulder the fate of her own idyllic world. The unlikely pair head to newly established Fujimisaki Academy, where their destinies await.

(Source: ANN)





StudioPassione

SourceCard game

ThemeSchool
DemographicShounen",Shounen,Finished,12,24,13K
613,Choujuushin Gravion,Gonzo,Mecha,"Action, Comedy, Sci-Fi",Original,6.38,2002,"The year is now 2041 AD. A new enemy called Zeravire suddenly appears in the solar system, destroying all military installations it comes across. However, a wealthy man named Klein Sandman is already aware of this planned invasion and had been secretly preparing his army for battle. His trump card is Gravion, a giant robot that utilizes gravity as its source of energy. Meanwhile a young man named Eiji secretly enters Sandman's base in search for his missing sister. It is there that he meets another young man by the name of Toga... These two must now fight together with four other individuals aboard the super robot, Gravion to fend off the Zeravire threat.

(Source: ANN)





StudioGonzo

SourceOriginal

ThemeMecha
DemographicShounen",Shounen,Finished,13,23,13K
614,Ryuusei no Rockman,Xebec,Strategy Game,"Action, Sci-Fi",Game,7.08,2006,"In the year 220X, the world has advanced toward radio-wave technology, and the world is connected through the Wave Road. Meet Subaru Hoshikawa, a fifth-grade student who lost his father in a space accident. Subaru meets an extraterrestrial radio-wave being named War-Rock, descending from a distant FM planet. War-Rock claims to know about Subaru's father, but many alien beings are after War-Rock. The two work together and merge into Rockman, a radio-wave human capable of traversing the Wave Road and battling the radio-wave viruses and FMs that threaten the Earth.

(Source: ANN)





StudioXebec

SourceGame

ThemeStrategy Game
DemographicShounen",Shounen,Finished,55,10,12K
615,Tetsuwan Atom (1980),Tezuka Productions,Mecha,"Action, Adventure, Sci-Fi",Manga,7.13,1980,"Set in a future where machines have advanced to the point of autonomy and become a point of major contention in the political and social realms, Astro Boy (1980) chronicles the struggles of a crime-fighting young robot named Atom. Created in the image of his enigmatic inventor's deceased son, Atom survives rough beginnings, getting saved and adopted by the benevolent Dr. Ochanomizu. In his pursuit of justice, Atom finds himself in the midst of numerous clashes with various factions, and is often faced with the harsh realities of the world.

[Written by MAL Rewrite]





StudioTezuka Productions

SourceManga

ThemeMecha
DemographicShounen",Shounen,Finished,52,24,12K
616,Kyattou Ninden Teyandee,Tatsunoko Production,"Anthropomorphic, Mecha, Super Power","Action, Comedy, Sci-Fi",Original,7.03,1990,"In the city of Edoropolis, hundreds of mechanical animals live in harmony alongside each other. However, when Lord Wanko discovers that the shogun's chief advisor, Lord Korn, is plotting to take over the government, he knows that something must be done to preserve the peace. In order to thwart Korn's plans, Wanko forms the Nyankees—an elite ninja team led by the fearless Yattarou, who wields the mystic sword Masamasa. With all this power, the Nyankees seem unstoppable!

But Korn's schemes are not the only thing the team has to worry about. Secretly based out of the popular Pizza Cats restaurant, the Nyankees must keep their operations hidden while delivering piping-hot plates of pizza and justice.

[Written by MAL Rewrite]






StudioTatsunoko Production

SourceOriginal

ThemesAnthropomorphicMechaSuper Power
DemographicShounen",Shounen,Finished,54,24,12K
617,Sakigake!! Otokojuku,Toei Animation,"Delinquents, Martial Arts, School","Action, Comedy",Manga,7.39,1988,"Otokojuku: a private school for juvenile delinquents that were previously expelled from normal schools. At this school, Japanese chivalry is taught through feudal and military fundamentals. Similar to an action film, the classes are overwhelmed by violence. Only those who survive it become true men.

(Source: ANN)





StudioToei Animation

SourceManga

ThemesDelinquentsMartial ArtsSchool
DemographicShounen",Shounen,Finished,34,24,12K
619,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,Magic Bus,"Gag Humor, Martial Arts, School",Comedy,Manga,7.66,1998,"Okometsubu Fujiyama has recently transferred over to a new school, Wakame High School. His goal is to make 100 friends--until he meets the extremely weird Masaru Hananakajima. Masaru is a martial artist whose specialty is the ""Sexy Commando"" form of martial art. Masaru forms a club based on this art, including Fujiyama, who he nicknames Fuumin, in the club. The club becomes full of strange, yet wacky people. Aliens, mustaches, and cute fuzzy animals are encountered as the club moves along and gets steadily more popular.

(Source: ANN) 





StudioMagic Bus

SourceManga

ThemesGag HumorMartial ArtsSchool
DemographicShounen",Shounen,Finished,48,8,12K
620,Overman King Gainer,Sunrise,Mecha,"Action, Adventure, Sci-Fi",Original,6.93,2002,"Sometime in the distant future, mankind is forced to live in domed cities while the rest of the world is left to recover from years of environmental hardships. In the Siberian Dome-polis, professional gamer Gainer Sanga and mercenary Gain Bijou commandeer an Overman and lead a mass exodus out of the city.

(Source: ANN)





StudioSunrise

SourceOriginal

ThemeMecha
DemographicShounen",Shounen,Finished,26,25,12K
621,Usakame,Millepensee,Shounen,"Comedy, Slice, of, Life, Sports",Manga,5.77,2016,"The girls of the Usakame High tennis club, Tanaka Kinako, Suzuki Ayako, Sato Kurumi, and Nishiarai-Taishi Nishi, pursue their various dreams... This high school comedy kind of thing starts now. Usakame, the official rival of the high intensity comedy Teekyuu, depicts the mostly ordinary but slightly strange daily lives of four girls who devote themselves to practice. All members of Earth Star Dream, an Earth Star Entertainment idol unit of nationally famous voice actors, appear in the show! Sit back, relax, and enjoy Teekyuu's rival Usakame. 

(Source: Crunchyroll)





StudioMillepensee

SourceManga

DemographicShounen",Shounen,Finished,12,3,12K
622,Hyakujuu-Ou GoLion,Toei Animation,Mecha,"Adventure, Sci-Fi",Original,6.82,1981,"Golion, a powerful sentient robot, abuses his great powers by attacking and killing creatures known as Deathblack Beastmen, boasting that no one could defeat him. A divine space being punishes Golion for his arrogance and abuse by seperating him into 5 different lion robots. In the year 1999, a group of 5 young men return to Earth after a space voyage, only to find it ravaged by nuclear war. After encountering the alien race known as the Galra, the 5 youths end up on the planet Altea, and learn that the 5 lion robots that Golion was split into are in hibernation in various parts of Altea. Somehow, they must reunite the lions and form Golion, the only hope for the human race.

(Source: ANN)

About Voltron (U.S.)





StudioToei Animation

SourceOriginal

ThemeMecha
DemographicShounen",Shounen,Finished,52,23,12K
623,Double-J,DLE,School,Comedy,Manga,5.48,2011,"In a school where after school activities are mandatory among all students, Hajime and her friend Sayo come across a new club that they have never seen before. The club is called ""The Cultural Activity Preservation Club."" The two enter the room to find all kinds of analog jobs and activities, such as handcrafting mats and toothpicks. This is a unique cultural anime mixed with comedy so as not to bore you, this is Double J!

(Source: Mangahelpers, edited)





StudioDLE

SourceManga

ThemeSchool
DemographicShounen",Shounen,Finished,11,4,12K
624,Koutetsu Tenshi Kurumi 2,OLM,Mecha,"Comedy, Girls, Love, Romance, Sci-Fi",Original,6.27,2001,"Taking place 75 years after the first series, Steel Angel Kurumi 2 brings the Steel Angels in a new mis-adventure. High school student and aspiring cellist Nako Kagura accidentally discovers and kisses Kurumi Mk. II at her home, thus making her Kurumi's master. But things go awry as Nako's best friend Uruka gets jealous and tries anything - including her father's army of top-secret mecha - to destroy Kurumi and win back Nako. Things get more out of control when Saki Mk. II is awakened by Uruka, and Karinka Mk. II joins in to steal Nako away from Kurumi. 

(Source: ANN)





StudioOLM

SourceOriginal

ThemeMecha
DemographicShounen",Shounen,Finished,12,15,11K
625,Tetsuwan Atom,Mushi Production,Mecha,"Action, Adventure, Drama, Sci-Fi",Manga,7.08,1963,"In the year 2003, Professor Tenma is distraught when his son Tobio is killed in a car accident. He loses himself in his latest project, creating Atom, a robot boy programmed to be forever good.

Upset that his Tobio-substitute can never grow up, Tenma sells Atom to Ham Egg, the cruel ringmaster of a robot circus. Atom meets the kindly Professor Ochanomizu, who adopts him, inspires him to become a crusader against evil, and eventually builds him a robot ""sister,"" Uran.

(Source: The Anime Encyclopedia)





StudioMushi Production

SourceManga

ThemeMecha
DemographicShounen",Shounen,Finished,193,26,11K
626,Stratos 4,Studio Fantasia,Military,"Comedy, Sci-Fi",Original,6.67,2003,"The Earth has developed a defense system against large meteorites that are on a collision course with it. This protection system is made up of the Comet Blasters based in several space stations as the 1st line of defense, using nuclear warheads launched by spaceships. The 2nd line of defense consists of the Meteor Sweepers launching from ground airbases using hypersonic planes with special missiles to deal with the resulting debris from the blasts. Mikaze is a troubled girl that is a trainee pilot for a Meteor Sweeper team that dreams of becoming a prestigious Comet Blaster pilot. Stratos 4 revolves around Mikaze's and her teammates' challenges to become real pilots, while the Earth faces the threats that come from space.

(Source: ANN, edited by Falre)





StudioStudio Fantasia

SourceOriginal

ThemeMilitary
DemographicShounen",Shounen,Finished,13,23,11K
627,B'T X,TMS Entertainment,Mecha,"Adventure, Sci-Fi",Manga,7.03,1996,"Teppei is going to visit his older brother Kotaro Takamiya during a scientific conference after training with a mysterious woman named Karen for the past 11 years. However his plans for a family reunion become stalled when a woman named Aramis kills everyone in the conference to kidnap Kotaro. Teppei on the way to save his brother encounters a broken mechanical horse called B't X who revives thanks to Teppei's blood and is now his aide to save his brother from the mysterious Machine Empire. 






StudioTMS Entertainment

SourceManga

ThemeMecha
DemographicShounen",Shounen,Finished,25,22,11K
628,Karakurizoushi Ayatsuri Sakon,TMS Entertainment,Shounen,"Horror, Mystery, Suspense",Manga,7.37,1999,"The dark-haired bishounen is Sakon Tachibana, a puppeteer, and the other is Ukon, his favorite puppet, and best friend. Sakon is the (only) grandson of Saemon Tachibana, a national treasure of Japan famous for his manipulation of Bunraku puppets. Ukon is a child doll puppet made in the early Meiji era by the famous female dollmaker Unosuke. Together they run into murders and solve them.

(Source: AnimeNfo)





StudioTMS Entertainment

SourceManga

DemographicShounen",Shounen,Finished,26,25,11K
629,Cardfight!! Vanguard (2018),OLM,Strategy Game,Action,Original,6.72,2018,"The main protagonist Sendou Aichi, is a timid and mundane third-year middle school boy. The thing that supported Aichi's heart, was the ""Blaster Blade"" card that he received as a child. It's an important rare card from ""Vanguard"", a card game with the imaginary world of ""Planet Cray"" as its stage. From the day he reunited with the person who gave him that card ""Toshiki Kai"", Aichi's everyday life began to change.

(Source: Crunchyroll)





StudioOLM

SourceOriginal

ThemeStrategy Game
DemographicShounen",Shounen,Finished,52,23,11K
630,Kaiketsu Zorro,Ashi Productions,Historical,Adventure,Other,7.23,1996,"Diego Vega returns from his study trip to discover his homeland is under the army's dictatorship. Diego, refusing to watch idly, disguises himself as Zorro to protect the weak and oppressed. Diego is not a coward but he is unable to win the affections of his sweetheart, Lolita, who is attracted to other more noble men. Diego serenades Lolita as Zorro and fights the evils of his homeland, hoping to capture her heart.





StudioAshi Productions

SourceOther

ThemeHistorical
DemographicShounen",Shounen,Finished,52,24,11K
631,Viewtiful Joe,Group TAC,Shounen,"Action, Comedy, Sci-Fi",Game,6.74,2004,"Joe, a red-headed movie buff, and Silvia, his girlfriend, are having a bit of relationship trouble. Silvia feels that Joe is taking her for-granted and wants to do something together for once, so Joe decides to take her to see an old action movie featuring his favorite hero, Captain Blue. What started out as a cute movie date takes a turn for the worst when Silvia is pulled into the movie by the leader of the evil organization, Jado.

Joe follows her into the mysterious ""Movieland,"" and is granted a powerful device known as a V-Watch by Captain Blue himself. With it, he transforms into the action hero named ""Viewtiful Joe"" and goes off to rescue his girlfriend before she can be used by Jado to take over the world. It's a long road to go from average Joe to full-blown hero, but he'll give it his all to save both his girl and the world—and he'll do it in the most ""view-ti-ful"" way possible.





StudioGroup TAC

SourceGame

DemographicShounen",Shounen,Finished,51,20,11K
632,Shin Chuuka Ichiban!,Nihon Ad Systems,Shounen,"Comedy, Gourmet",Manga,6.43,2019,"After passing the Guangzhou Special Chef Trials, Mao decided to travel around China, to learn more about the unique preparation of food. Upon his return, he will learn that the real battle has only just begun. The Underground Cooking Society has already begun to move... 

(Source: MU)





StudiosNihon Ad SystemsProduction I.G

SourceManga

DemographicShounen",Shounen,Finished,12,24,11K
633,Zoids Fuzors,Tokyo Kids,Mecha,"Adventure, Sci-Fi",,6.38,2004,"R.D. is a delivery boy who works for a company called Mach Storm in order to earn money to search for the legendary Alpha Zoid. A Zoid that he heard rumours about from his dad that he passionately believes in. Mach Storm also doubles as a Zoid Battling team. In R.D.'s first Coliseum Zoid Battle, he encounters a team that can fuse Zoids. R.D. soon discovers that he has a Zoid that can computably fuse with his Zoid, Liger Zero. After this happens R.D.'s adventure to discover the truth about the Alpha Zoid begins.

(Source: ANN)





StudioTokyo Kids

Source

ThemeMecha
DemographicShounen",Shounen,Finished,26,25,11K
634,Kinnikuman,Toei Animation,Combat Sports,"Adventure, Comedy, Sports",Manga,7.26,1983,"Kinnikuman is a superhero... a bad one. The one day a person named Meat tells Kinnikuman that he is the prince of an alien planet. Kinnikuman must save the day numerous times fighting evil chiyojins and competing in tournaments to prove himself to his family and to gain respect and money.





StudioToei Animation

SourceManga

ThemeCombat Sports
DemographicShounen",Shounen,Finished,137,24,11K
635,Burn Up Excess,Magic Bus,Detective,"Action, Adventure, Comedy, Sci-Fi, Ecchi",Original,6.55,1997,"Follows the exploits of Team Warrior, a special anti-terror wing of the Neo-Tokyo Police force. Team Warrior is comprised of the habitually broke Rio, gun-crazy Maya, computer specialist Lillica, tech-expert Nanvel, piliot/voyeur Yuji, and is led by the enigmatic Maki. The team faces a number of missions, ranging from bodyguard duty, breaking up robbery and arms rackets, and providing security for a very powerful tank. Rio and company continually thwart the terrorist aims of Ruby, an operative for a shadowy cabal of powerful men. Before the final showdown, the circumstances behind the formation of Team Warrior, how the precocious Rio came to join it, and Maki's painful past will be revealed.

(Source: ANN)






StudioMagic Bus

SourceOriginal

ThemeDetective
DemographicShounen",Shounen,Finished,13,25,11K
636,Shoot! Goal to the Future,EMT Squared,Team Sports,Sports,Original,4.85,2022,"Atsushi Kamiya is a former captain at Kakegawa High School and the world-renowned ""courageous captain"" for a famous Italian soccer team. Hideto Tsuji is a student at the same school, who seems uninterested in the now-weakened soccer team. Their meeting is the start of a new legend... 

(Source: Official Site, edited)





StudiosEMT SquaredMagic Bus

SourceOriginal

ThemeTeam Sports
DemographicShounen",Shounen,Airing,13,23,11K
637,UFO Robo Grendizer,Toei Animation,Mecha,Sci-Fi,Manga,7.54,1975,"Duke Fleed is a survivor of the Fleed Planet who is escaped to the Earth, onboard a mysterious ""spaceship"", where is raised by Dr. Umon as his adoptive son, and known as Daisuke Umon. Years after his arrival, he's faced with the threat of King Vega and his army, who want to conquer the Earth. With his friends Koji and Hikaru (and later his younger sister Maria Grace), Duke decides to fight back using his best weapon - the almighty Grendizer.





StudioToei Animation

SourceManga

ThemeMecha
DemographicShounen",Shounen,Finished,74,25,11K
638,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,Madhouse,"Martial Arts, Samurai","Adventure, Comedy, Drama",Original,6.85,2004,"Three hundred years ago, in the frigid land of Siberia, Jubei Yagyu engaged in a fierce battle with Kitaretsusai of the Northern Yagyu clan. The duel was costly, as his daughter Freesia was frozen in suspended animation. As a result of global warming in the present day, Freesia breaks free from her icy grave and moves to Japan as a middle school transfer student, where she befriends Jiyuu Nanohana. Little does Jiyuu know that Freesia is targeting her to acquire the coveted Lovely Eye Patch, which Freesia believes is rightfully hers.

(Source: ANN)






StudioMadhouse

SourceOriginal

ThemesMartial ArtsSamurai
DemographicShounen",Shounen,Finished,13,25,10K
639,IGPX: Immortal Grand Prix (2005) 2nd Season,Production I.G,"Mecha, Racing",Sci-Fi,Original,7.27,2006,"Team Satomi has just been deemed as the winners for the IG-2 lower league and now join the top IG-1 competition. But it's not going to be easy. Young pilots Takeshi, Liz, Amy, and River are going to have to be a team to be number 1, however one thing leads to another with these four. Most important of all, their opponents overwhelm Team Satomi in every aspect, including strategy and skill, as well as funding. One thing is for sure, this is not going to be an easy year for ""Team Satomi."" 






StudioProduction I.G

SourceOriginal

ThemesMechaRacing
DemographicShounen",Shounen,Finished,13,24,10K
640,Kindaichi Shounen no Jikenbo Returns 2nd Season,Toei Animation,Shounen,Mystery,Manga,7.65,2015,"Hajime Kindaichi once again becomes embroiled in solving baffling cases and deciphering puzzling crimes that would confound the most seasoned of detectives. Whether it's a gruesome murder and shady circumstances surrounding the Japanese board game Go; a perplexing and macabre case involving a mysterious character, ""Rosenkreutz,"" and blue roses; or blood curdling crimes associated with an urban legend at a winter ski resort – Hajime is out to crack them all!

(Source: YTV)





StudioToei Animation

SourceManga

DemographicShounen",Shounen,Finished,22,24,10K
641,Eat-Man,Studio Deen,Super Power,"Action, Adventure, Sci-Fi",Manga,6.39,1997,"Meet Bolt Crank, mercenary extraordinaire, and the man who eats metal! Through his travels, he stops along the way to make a few bucks and occasionally rescue damsels in distress. His taste for metal gives him quite an edge as he becomes capable of generating an assortment of weapons from his hand! It's a strange ability, but it seems to come in handy, so to speak. Bolt has an edge over his adversaries, but will that be enough?

(Source: AnimeNfo)





StudioStudio Deen

SourceManga

ThemeSuper Power
DemographicShounen",Shounen,Finished,12,24,10K
642,Tenkuu Senki Shurato,Tatsunoko Production,Shounen,"Action, Fantasy",Original,7.19,1989,"A 16-year-old boy named Shurato and his friend Gai happen to be drawn into a gigantic ball of light while competing in the final match of a martial arts tournament. When they regain their senses, they find themselves transferred to a mystic heavenly sphere with a divine atmosphere. It's soon discovered that Shurato used to be the governing king of this world and that he has only been brought to his original state. Shurato is shocked as Gai suddenly turns hostile. After this unfortunate incident, a spectacular yet fantastic drama develops involving the two.

(Source: ANN)





StudioTatsunoko Production

SourceOriginal

DemographicShounen",Shounen,Finished,38,24,10K
643,Mahoujin Guruguru,Nippon Animation,Shounen,"Adventure, Comedy, Fantasy",Manga,7.64,1994,"There is a small village called Jimuna on the continent of Jamu Jamu. This village is home to a girl named Kukuri. She is the last descendant of the Migu Migu Tribe. She is raised by an old witch who teaches her the secret magic of the tribe, but Kukuri is not a good student.

In the same village lives a boy named Nike. He has been raised by very strict parents. They discipline their son to become a brave hero of the village. Nike himself does not want to be a hero at all, but he grows up to become a mighty boy.

One day the king of the village, Kodai, recruits troops to fight against the ruler of the darkness, Giri. Kukuri and Nike are accepted. The two children, the strong but reluctant hero Nike, and the eager but unskilled little witch Kukuri, set out on a wonderful journey full of adventures and friendship.

(Source: Nippon Animation)





StudioNippon Animation

SourceManga

DemographicShounen",Shounen,Finished,45,23,10K
644,Virtua Fighter,Tokyo Movie Shinsha,Martial Arts,"Action, Adventure, Comedy",Game,7.11,1995,"Akira Yuki has spent years honing his Bajiquan skills under the guidance of his grandfather. He yearns to see the constellation of the eight stars of heaven, which are only revealed to those with real strength. This burning desire urges him to embark on travels, so as to learn more about how to see the stars.

Meanwhile, a nefarious robotics scientist, Eva Durix, desires to create the perfect soldier. Eva's group, Judgment 6, tracks down and kidnaps Sarah Bryant, a college student and close acquaintance of Akira who is investigating a mysterious accident concerning her brother. Akira must now fight his way to Sarah to save her from the clutches of Judgement 6, a perilous path sure to be paved with countless challenges.





StudioTokyo Movie Shinsha

SourceGame

ThemeMartial Arts
DemographicShounen",Shounen,Finished,35,25,10.0K
645,Cardfight!! Vanguard G: GIRS Crisis-hen,TMS Entertainment,Strategy Game,Action,Card game,6.65,2015,"The first half of the second season of Cardfight!! Vanguard G series.





StudioTMS Entertainment

SourceCard game

ThemeStrategy Game
DemographicShounen",Shounen,Finished,26,24,9.9K
646,Taiho Shichau zo: Second Season,Studio Deen,"Adult Cast, Detective, Workplace","Action, Comedy",Manga,7.4,2001,"AA! Megami Sama creator, Kosuke Fujishima, is back with the second season of Taiho Schihauzo (You're Under Arrest). Same characters, two policewomen, the gentle Miyuki and the wild Natsumi teamed up together in Bokuto police station`s traffic division.

Other characters including Kenichi, the motorcycle cop who has a feeling for Miyuki; Yoriko with her gossip and Aoi, a transvestite. They all ready to take on harmless criminals and costumed weirdos... You think you can have a better police station?

(Source: AniDB)





StudioStudio Deen

SourceManga

ThemesAdult CastDetectiveWorkplace
DemographicShounen",Shounen,Finished,26,24,9.9K
647,Ninja Hattori-kun,Shin-Ei Animation,Martial Arts,"Comedy, Slice, of, Life",Manga,6.87,1981,"The everyday Sanyo family gets an unexpected surprise in the shape of a new lodger-Hattori is a ninja boy who has come down from the Iga mountains to attend normal school. Befriending Kenichi Sanyo, who is the same age as he, Hattori starts attending school undercover, occasionally accompanied by his brother, Shinzo, Shishimaru the ninja dog, and Kenichi's girlfriend, Yumeko. The gang is also threatened by the rival Koga ninja, Kemumaki, and his evil sidekick, Kagechiyo the Shadow-cat. 

(Source: The Anime Encyclopedia)





StudioShin-Ei Animation

SourceManga

ThemeMartial Arts
DemographicShounen",Shounen,Finished,694,10,9.8K
648,Samurai Girl Real Bout High School,Gonzo,Shounen,"Adventure, Comedy, Fantasy",Light novel,5.94,2001,"At Daimon High School, kids settle their disputes by dueling with each other in the school's official K-Fight battle arena. Ryoko Mitsurugi, samurai girl and undefeated K-Fight champion, is called upon by a mysterious Priestess to protect the Earth from an invasion coming from the alternate universe of Solvania. She must face battles that will test her skills, her friendships, and her heart in order to find her true strength as a samurai warrior. 

(Source: ANN)





StudioGonzo

SourceLight novel

DemographicShounen",Shounen,Finished,13,23,9.8K
649,Weiß Kreuz Glühen,ufotable,Shounen,"Action, Drama",,6.55,2002,"Koua is an academy that brings Japanese's most talented people and students together. The mission is to train talented people to bear the world's future leadership. However, recently, the suicide rate in the academy is increasing and there is hardly any information being released to the public. 

Fujimiya Aya is sent to infiltrate this school carrying out criminal investigation and disguise himself as a teacher. In fact, actually, there is a connection between Koua academy and the global terrorist activities that are frequently occur. Therefore Persia assigns Hidaka Ken and Kudou Youji as well into this mission to solve the truth and connection of the incident behind Koua academy. 

(Source: AniDB) 





Studioufotable

Source

DemographicShounen",Shounen,Finished,13,20,9.7K
650,Maou Dante,Magic Bus,Mythology,"Action, Horror, Supernatural",Manga,6,2002,"While sleeping one night, Ryo Utsugi had a nightmare of monsters attacking him. One day he learns a mysterious power to let him hear voices and have visions of girls getting killed, but one night he hears the same voice.

(Source: ANN)





StudioMagic Bus

SourceManga

ThemeMythology
DemographicShounen",Shounen,Finished,13,24,9.6K
651,Cardfight!! Vanguard G: Next,OLM,Strategy Game,Action,Card game,6.62,2016,"Third season of Cardfight!! Vanguard G series.





StudioOLM

SourceCard game

ThemeStrategy Game
DemographicShounen",Shounen,Finished,52,24,9.5K
652,Tiger Mask,Toei Animation,Combat Sports,"Action, Drama, Sports",Manga,7.26,1969,"Tiger Mask (whose real name was Naoto Date) was a feared heel wrestler in America who was extremely vicious in the ring. However, he became a face after returning to Japan when a young boy said that he wanted to be a villain like Tiger Mask when he grew up. The boy resided in an orphanage, the same one that Tiger Mask grew up in during his childhood. Feeling that he did not want the boy to idolize a villain, Tiger was inspired to be a heroic wrestler.

The main antagonist in the manga and anime was Tigers' Den, a mysterious organization that trained young people to be villainous heel wrestlers on the condition that they gave half of their earnings to the organization. Tiger Mask was once a member of Tigers' Den under the name ""Yellow Devil"", but no longer wanted anything to do with them, instead donating his money to the orphanage. This infuriated the leader of the organization and he sent numerous assassins, including other professional wrestlers, to punish him.

(Source: Wikipedia) 





StudioToei Animation

SourceManga

ThemeCombat Sports
DemographicShounen",Shounen,Finished,105,23,9.5K
653,Kagaku Ninja-tai Gatchaman,Tatsunoko Production,Shounen,"Action, Adventure, Sci-Fi",Original,6.95,1972,"Due to dangers of decreasing resources and growing pollution, the International Scientific Organization (ISO) is established to improve environmental conditions throughout the world. But an international criminal group, Gallactor, tries to achieve world domination by taking control of the ISO. Gallactor was created by a mysterious being from outer space known as Generalissimo X, who gives orders through its chief commander on Earth, the masked Berg Katse. To fight Gallactor and its robot monsters, the ISO's Dr. Nambu enlists five brave youths into a combat squad called Gatchaman,the Science Commandos. Special scientific powers and dramatic birdlike costumes make the Gatchaman Squad a match for Gallactor, wherever on Earth it may strike. Ken (the Eagle) is the wise leader, assisted by sometimes-foolhardy Joe (the Condor), pretty Jun (the Swan), eager little Jinpei (the Swallow), and strong Ryu (the Horned Owl). Each has individual scientific weapons, but their main power lies in their aircraft, the Phoenix, which can transform itself into a fiery arrow capable of piercing the most massive threats. GATCHAMAN is a series of dynamic action and tension as Ken, Joe, Jun, Jinpei, and Ryu hold themselves in constant readiness to meet each new threat by Gallactor to conquer the world.

(Source: Official Site)

About Battle of the Planets (U.S.)





StudioTatsunoko Production

SourceOriginal

DemographicShounen",Shounen,Finished,105,26,9.4K
654,Cyborg 009 (1979),Toei Animation,Mecha,"Action, Adventure, Sci-Fi",Manga,7.2,1979,"Joe Shimamura and his companions may seem like regular men, but they are anything but. Joe is actually Cyborg 009, member of a team of cyborgs who fight for the greater good. Each cyborg is outfitted with a special power, from the ability to melt any material, to underwater breathing and flight. He and the other eight cyborgs were modified against their will by the Neo-Black Ghosts organization in order to further their own interests. But instead, they decided to band together and use their powers to fight against their former captors, and all forces of evil.





StudioToei Animation

SourceManga

ThemeMecha
DemographicShounen",Shounen,Finished,50,24,9.3K
